"","region","LATITUDE","LONGITUDE","SURVEY_DATE","TRAP_COUNT_RAW","year","JULIAN","DDs","propsBLH","CumProps"
"1","Basin City",46.6073027775,-119.178252775,2007-04-02,0.0833333333333333,2007,92,59.0214391810216,0.00029673590504451,0.00029673590504451
"2","Mattawa",46.7203222216667,-119.712027783333,2007-04-02,0.333333333333333,2007,92,61.9396781664577,0.00103466114847387,0.00103466114847387
"3","Othello",46.9465727272727,-119.008827781818,2007-04-02,0,2007,92,46.159247371864,0,0
"4","Quincy",47.0975097225,-119.64105,2007-04-02,0,2007,92,42.5024844186378,0,0
"5","Royal City",46.925333334,-119.53401668,2007-04-02,0.2,2007,92,49.1108355905422,0.000939408172851104,0.000939408172851104
"6","Basin City",46.6073027775,-119.178252775,2007-04-09,0.0833333333333333,2007,99,79.0991015546612,0.00029673590504451,0.000593471810089021
"7","Mattawa",46.7203222216667,-119.712027783333,2007-04-09,0,2007,99,82.9596351148688,0,0.00103466114847387
"8","Othello",46.9465727272727,-119.008827781818,2007-04-09,0.0606060606060606,2007,99,65.4892913966961,0.000313629576280752,0.000313629576280752
"9","Quincy",47.0975097225,-119.64105,2007-04-09,0.333333333333333,2007,99,61.3009777648367,0.00153550863723608,0.00153550863723608
"10","Royal City",46.925333334,-119.53401668,2007-04-09,0,2007,99,68.284774107515,0,0.000939408172851104
"11","Basin City",46.6073027775,-119.178252775,2007-04-16,0.0833333333333333,2007,106,91.725319550813,0.00029673590504451,0.000890207715133531
"12","Mattawa",46.7203222216667,-119.712027783333,2007-04-16,0.166666666666667,2007,106,96.8124378579604,0.000517330574236937,0.00155199172271081
"13","Othello",46.9465727272727,-119.008827781818,2007-04-16,0,2007,106,75.8515971388295,0,0.000313629576280752
"14","Quincy",47.0975097225,-119.64105,2007-04-16,0,2007,106,72.0581903078163,0,0.00153550863723608
"15","Royal City",46.925333334,-119.53401668,2007-04-16,0,2007,106,79.9770591426807,0,0.000939408172851104
